MODEL,MAKE,Model Year,Overall Length,Overall Width,Overall Height,Wheelbase,Curb Weight,Front End Length,Rear End Length,Side Glass Height,Body Side Height,Roof Width,Front Overhang,Rear Overhang,Track Width Front,Track Width Rear,Front Weight %,Rear Weight %
CX304DRSUVFWD,MAZDA,20,439.0,180.0,157.0,265.0,1427.0,132.0,133.0,30.0,87.0,112.0,92.0,84.0,157.0,155.0,62.0,38.0
CX34DRSUVAWD,MAZDA,15,427.0,177.0,154.0,257.0,1355.0,124.0,125.0,43.0,75.0,105.0,91.0,80.0,152.0,152.0,60.0,40.0
CX34DRSUVFWD,MAZDA,15,427.0,177.0,154.0,257.0,1275.0,124.0,125.0,43.0,75.0,105.0,91.0,80.0,152.0,152.0,61.0,39.0
CX3AWD,MAZDA,15,427.0,177.0,154.0,257.0,1339.0,124.0,125.0,43.0,75.0,105.0,91.0,80.0,152.0,152.0,60.0,40.0
CX3FWD,MAZDA,15,427.0,177.0,154.0,257.0,1275.0,124.0,125.0,43.0,75.0,105.0,91.0,80.0,152.0,152.0,61.0,39.0
CX520LFWD4DRSUV,MAZDA,18,455.0,184.0,168.0,270.0,1505.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,59.0,41.0
CX520LFWD4DRSUV(2017),MAZDA,18,455.0,184.0,168.0,270.0,1505.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,59.0,41.0
CX525LAWD4DRSUV,MAZDA,18,455.0,184.0,168.0,270.0,1659.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,57.0,43.0
CX525LAWD4DRSUV(2017),MAZDA,18,455.0,184.0,168.0,270.0,1659.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,57.0,43.0
CX525LFWD4DRSUV,MAZDA,18,455.0,184.0,168.0,270.0,1602.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,59.0,41.0
CX525LFWD4DRSUV(2017),MAZDA,18,455.0,184.0,168.0,270.0,1602.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,59.0,41.0
CX54DRSUVGSGTAWD,MAZDA,12,455.0,184.0,167.0,270.0,1604.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX54DRSUVGSGTFWD,MAZDA,12,455.0,184.0,167.0,270.0,1553.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX54DRSUVGXAWD,MAZDA,12,455.0,184.0,167.0,270.0,1533.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX54DRSUVGXFWD,MAZDA,12,455.0,184.0,167.0,270.0,1482.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5AWD4DRSUV,MAZDA,18,455.0,184.0,168.0,270.0,1630.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,57.0,43.0
CX5FWD4DRSUV,MAZDA,18,455.0,184.0,168.0,270.0,1559.0,130.0,147.0,39.0,90.0,105.0,96.0,91.0,160.0,160.0,59.0,41.0
CX5GS4DRSUVFWD,MAZDA,12,455.0,184.0,167.0,270.0,1559.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GS4DRSUVFWD(20165),MAZDA,12,455.0,184.0,167.0,270.0,1559.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GSGT4DRSUVAWD,MAZDA,12,455.0,184.0,167.0,270.0,1629.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GSGT4DRSUVAWD(20165),MAZDA,12,455.0,184.0,167.0,270.0,1629.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GSGT4DRSUVFWD,MAZDA,12,455.0,184.0,167.0,270.0,1553.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GX4DRSUVAWD,MAZDA,12,455.0,184.0,167.0,270.0,1556.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GX4DRSUVAWD(20165),MAZDA,12,455.0,184.0,167.0,270.0,1556.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GX4DRSUVFWD,MAZDA,12,455.0,184.0,167.0,270.0,1489.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX5GX4DRSUVFWD(20165),MAZDA,12,455.0,184.0,167.0,270.0,1489.0,123.0,146.0,39.0,87.0,111.0,94.0,91.0,158.0,158.0,56.0,44.0
CX74DRSUVAWDGSGT,MAZDA,7,468.0,187.0,165.0,275.0,1818.0,106.0,156.0,34.0,83.0,115.0,98.0,95.0,161.0,162.0,58.0,49.0
CX74DRSUVFWDGX,MAZDA,7,468.0,187.0,165.0,275.0,1588.0,106.0,156.0,34.0,83.0,115.0,98.0,95.0,161.0,162.0,58.0,42.0
CX94DRSUVAWD,MAZDA,16,507.0,197.0,172.0,293.0,1990.0,140.0,179.0,39.0,102.0,119.0,102.0,111.0,164.0,164.0,55.0,45.0
CX94DRSUVAWDGT,MAZDA,13,511.0,194.0,173.0,288.0,2062.0,127.0,178.0,37.0,89.0,121.0,110.0,113.0,166.0,165.0,58.0,45.0
CX94DRSUVFWD,MAZDA,16,507.0,197.0,172.0,293.0,1837.0,140.0,179.0,39.0,102.0,119.0,102.0,111.0,164.0,164.0,55.0,45.0
